Title,Note,URL,Tags,Comment
Darlington Bridal,,https://www.google.com/maps/place/Darlington+Bridal/data=!4m2!3m1!1s0x31752f13399deb29:0x9f2708b88285969a,,
Brides by Olivia,,https://www.google.com/maps/place/Brides+by+Olivia/data=!4m2!3m1!1s0x31752fcfcc36bedd:0x3b7c7ebaf4e4dcb6,,
Chou Bridal,,https://www.google.com/maps/place/Chou+Bridal/data=!4m2!3m1!1s0x31752f5b6c8c9bab:0x176692d5bb223982,,
Le Thanh Hoa Boutique,,https://www.google.com/maps/place/Le+Thanh+Hoa+Boutique/data=!4m2!3m1!1s0x31752f22144c13fb:0xce367ad155332f05,,
XÉO XỌ SÀI GÒN,,https://www.google.com/maps/place/X%C3%89O+X%E1%BB%8C+S%C3%80I+G%C3%92N/data=!4m2!3m1!1s0x31752fb08a0bf68f:0x33a0dc44b502b2f4,,
Peonies peony wedding invitation,,https://www.google.com/maps/place/Peonies+peony+wedding+invitation/data=!4m2!3m1!1s0x317529495c9fde0f:0xc59b09b7f06ab90f,,
Hồ Văn Huê,Wedding supply street,https://www.google.com/maps/place/H%E1%BB%93+V%C4%83n+Hu%C3%AA/data=!4m2!3m1!1s0x317528d87379682b:0x9f6cd882411125c5,,
Shop Mỹ Phẩm Thương.cosmetics,,https://www.google.com/maps/place/Shop+M%E1%BB%B9+Ph%E1%BA%A9m+Th%C6%B0%C6%A1ng.cosmetics/data=!4m2!3m1!1s0x31a089e1b98ffb2d:0xf113c0874efec21a,,
PHƯƠNG THẢO BEAUTY,,https://www.google.com/maps/place/PH%C6%AF%C6%A0NG+TH%E1%BA%A2O+BEAUTY/data=!4m2!3m1!1s0x31a089c26dc279b7:0x3baec304ac2d5295,,
Beauty Garden Store,,https://www.google.com/maps/place/Beauty+Garden+Store/data=!4m2!3m1!1s0x31a08971e3f5f793:0xc181dffcb885ba2e,,
Sumire Store,Ao dai ,https://www.google.com/maps/place/Sumire+Store/data=!4m2!3m1!1s0x3175293ca7dc40c1:0xb7d0f33f83115eed,,
Vincom Plaza Xuân Khánh,Big mall,https://www.google.com/maps/place/Vincom+Plaza+Xu%C3%A2n+Kh%C3%A1nh/data=!4m2!3m1!1s0x31a08820e288dc5b:0x301560920bedaf72,,
OLV Cần Thơ,,https://www.google.com/maps/place/OLV+C%E1%BA%A7n+Th%C6%A1/data=!4m2!3m1!1s0x31a063dbeea788b7:0x7593f364fde15752,,
OLV Nguyễn Gia Trí,,https://www.google.com/maps/place/OLV+Nguy%E1%BB%85n+Gia+Tr%C3%AD/data=!4m2!3m1!1s0x3175295f7021e505:0x9896b373d3da69d1,,
Nem Nướng Thanh Vân,"delicious nem nuong (pork skewers) and egg rolls (portions are small get extra)
Hang’a family has been here for years",https://www.google.com/maps/place/Nem+N%C6%B0%E1%BB%9Bng+Thanh+V%C3%A2n/data=!4m2!3m1!1s0x31a089c87312274f:0xf72161567208d54b,,
STHM Stationery - Sổ tay & Văn Phòng Phẩm | Store Ninh Kiều Cần Thơ,,https://www.google.com/maps/place/STHM+Stationery+-+S%E1%BB%95+tay+%26+V%C4%83n+Ph%C3%B2ng+Ph%E1%BA%A9m+%7C+Store+Ninh+Ki%E1%BB%81u+C%E1%BA%A7n+Th%C6%A1/data=!4m2!3m1!1s0x31a0891c6440a84d:0x3ca85260865e227f,,
Nhà sách Kiến Văn,,https://www.google.com/maps/place/Nh%C3%A0+s%C3%A1ch+Ki%E1%BA%BFn+V%C4%83n/data=!4m2!3m1!1s0x31a089da6c37e4eb:0xbf3aacdd8c6542d7,,
Matsukiyo Vincom Đồng Khởi,,https://www.google.com/maps/place/Matsukiyo+Vincom+%C4%90%E1%BB%93ng+Kh%E1%BB%9Fi/data=!4m2!3m1!1s0x31752fa224434449:0xa3ec0fb162b7257c,,
Watsons Vincom Đồng Khởi (Click & Collect),,https://www.google.com/maps/place/Watsons+Vincom+%C4%90%E1%BB%93ng+Kh%E1%BB%9Fi+(Click+%26+Collect)/data=!4m2!3m1!1s0x31752f851118cb5b:0xca3bb5de25f80d3c,,
